fold,seed,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,mean_score_acquired,C_D_reference,budget_semantics,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05,group
1,42,hashrandom_budget,v60_rule,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:MySQL
1,42,hashrandom_budget,v60_rule,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,0.0,0.0,0.0,malware:Neris
1,42,probability_only_gain_classifier,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:MySQL
1,42,probability_only_gain_classifier,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,0.0,0.0,0.0,malware:Neris
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:MySQL
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,0.0,0.0,0.0,malware:Neris
1,42,probability_only_gain_regression,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:MySQL
1,42,probability_only_gain_regression,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,0.0,0.0,0.0,malware:Neris
1,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:MySQL
1,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,0.0,0.0,0.0,malware:Neris
1,42,confidence_budget,v60_rule,1.1,1.1,2000,251,1.1255,0.1255,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.001255,-0.006275,benign:MySQL
1,42,confidence_budget,v60_rule,1.1,1.1,2000,149,1.0745,0.0745,0.0,first_temporal,exact_quota,0.49849548645937813,0.994,0.0,0,0,12,1988,2,4,-2,-2.0,-2.000745,-2.003725,malware:Neris
1,42,hashrandom_budget,v60_rule,1.1,1.1,2000,207,1.1035,0.1035,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.001035,-0.005175000000000001,benign:MySQL
1,42,hashrandom_budget,v60_rule,1.1,1.1,2000,193,1.0965,0.0965,0.0,first_temporal,exact_quota,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,0.0,-0.0009649999999999999,-0.004825,malware:Neris
