method,prefix_packets,round,capture,root_seconds,residual_seconds,prefix_materialization_seconds,source_parse_seconds,temporal_feature_seconds,temporal_inference_seconds,stats_feature_seconds,stats_inference_seconds,fusion_seconds,coordination_seconds
allavg,16,2,Benign\Weibo\Weibo\Weibo-2.pcap,0.796297,0.0021659,0.070309,0.6146776,0.0949169,0.0044017,0.0059549,0.003778,9.3e-05,0.0
allavg,16,2,Benign\Weibo\Weibo\Weibo-3.pcap,0.8524258,0.0028499,0.0715252,0.6419523,0.1131197,0.006531,0.0109762,0.0053436,0.0001279,0.0
allavg,16,2,Benign\Weibo\Weibo\Weibo-4.pcap,0.77448,0.0022584,0.0660848,0.6013563,0.0898897,0.0045284,0.0060698,0.0041898,0.0001028,0.0
allavg,16,2,Malware\Virut\Virut.pcap,0.7265327,0.0013829,0.074623,0.6161037,0.0204443,0.0065623,0.0013286,0.0060602,2.77e-05,0.0
fixed_low_confidence,8,2,Benign\Weibo\Weibo\Weibo-1.pcap,0.7783562,0.0022372,0.0598347,0.6121637,0.0993736,0.0045965,0.0,0.0,6.2e-05,8.85e-05
fixed_low_confidence,8,2,Benign\Weibo\Weibo\Weibo-2.pcap,0.821868,0.0021683,0.0582596,0.6611765,0.0955177,0.0046096,0.0,0.0,6.26e-05,7.37e-05
fixed_low_confidence,8,2,Benign\Weibo\Weibo\Weibo-3.pcap,0.7775565,0.0024043,0.0616135,0.6068712,0.1015998,0.0049217,0.0,0.0,6.62e-05,7.98e-05
fixed_low_confidence,8,2,Benign\Weibo\Weibo\Weibo-4.pcap,0.7883192,0.0022365,0.05785,0.6259288,0.0975061,0.0046593,0.0,0.0,6.51e-05,7.34e-05
fixed_low_confidence,8,2,Malware\Virut\Virut.pcap,0.7382704,0.0017587,0.0651311,0.6353421,0.0286061,0.0073571,0.0,0.0,2.62e-05,4.91e-05
fixed_low_confidence,16,2,Benign\Weibo\Weibo\Weibo-1.pcap,0.7846717,0.0022396,0.0586502,0.6210543,0.097936,0.0046523,0.0,0.0,6.24e-05,7.69e-05
fixed_low_confidence,16,2,Benign\Weibo\Weibo\Weibo-2.pcap,0.8791707,0.0023019,0.0751231,0.6904563,0.1064234,0.0047272,0.0,0.0,5.91e-05,7.97e-05
fixed_low_confidence,16,2,Benign\Weibo\Weibo\Weibo-3.pcap,0.8343021,0.0024868,0.0664738,0.6483109,0.1117721,0.0051001,0.0,0.0,7e-05,8.84e-05
fixed_low_confidence,16,2,Benign\Weibo\Weibo\Weibo-4.pcap,0.8873072,0.0029249,0.0926936,0.6724173,0.1136832,0.0053872,0.0,0.0,0.0001031,9.79e-05
fixed_low_confidence,16,2,Malware\Virut\Virut.pcap,0.7677305,0.0014627,0.0713481,0.6669727,0.0211364,0.006751,0.0,0.0,2.1e-05,3.86e-05
temporal,8,2,Benign\Weibo\Weibo\Weibo-1.pcap,0.7847283,0.0022969,0.0692797,0.5946217,0.1138936,0.0046364,0.0,0.0,0.0,0.0
temporal,8,2,Benign\Weibo\Weibo\Weibo-2.pcap,0.802198,0.0025813,0.071607,0.6143028,0.1086903,0.0050166,0.0,0.0,0.0,0.0
temporal,8,2,Benign\Weibo\Weibo\Weibo-3.pcap,0.832625,0.0032327,0.0709801,0.6439161,0.108587,0.0059091,0.0,0.0,0.0,0.0
temporal,8,2,Benign\Weibo\Weibo\Weibo-4.pcap,0.9045048,0.0027727,0.0765723,0.7214254,0.0983044,0.00543,0.0,0.0,0.0,0.0
temporal,8,2,Malware\Virut\Virut.pcap,0.8049133,0.0016156,0.0870849,0.6789145,0.0295271,0.0077712,0.0,0.0,0.0,0.0
temporal,16,2,Benign\Weibo\Weibo\Weibo-1.pcap,0.8336257,0.0024446,0.0766485,0.6406682,0.1088185,0.0050459,0.0,0.0,0.0,0.0
temporal,16,2,Benign\Weibo\Weibo\Weibo-2.pcap,0.8517664,0.0025213,0.0851415,0.6371741,0.1211501,0.0057794,0.0,0.0,0.0,0.0
temporal,16,2,Benign\Weibo\Weibo\Weibo-3.pcap,0.8886738,0.0030316,0.0672801,0.6868434,0.1256709,0.0058478,0.0,0.0,0.0,0.0
