fold,group,method,coverage_target,accepted_rows,total_rows,coverage,accepted_error_count,accepted_error,malicious_correct_detected,malicious_missed,malicious_refused,normal_refused,base_pavg_malicious_correct_full,base_pavg_malicious_missed_full
3,malware:Geodo,risk_disagreement,0.9,1800,2000,0.9,0,0.0,1800,200,200,0,1999,1
3,malware:Geodo,risk_disagreement,0.95,1900,2000,0.95,0,0.0,1900,100,100,0,1999,1
3,malware:Geodo,risk_disagreement,1.0,2000,2000,1.0,1,0.0005,1999,1,0,0,1999,1
3,malware:Geodo,risk_hgb,0.5,1000,2000,0.5,0,0.0,1000,1000,1000,0,1999,1
3,malware:Geodo,risk_hgb,0.7,1400,2000,0.7,0,0.0,1400,600,600,0,1999,1
3,malware:Geodo,risk_hgb,0.8,1600,2000,0.8,0,0.0,1600,400,400,0,1999,1
3,malware:Geodo,risk_hgb,0.9,1800,2000,0.9,0,0.0,1800,200,200,0,1999,1
3,malware:Geodo,risk_hgb,0.95,1900,2000,0.95,0,0.0,1900,100,100,0,1999,1
3,malware:Geodo,risk_hgb,1.0,2000,2000,1.0,1,0.0005,1999,1,0,0,1999,1
4,__ALL__,risk_pavg,0.5,2000,4000,0.5,0,0.0,1092,908,908,1092,2000,0
4,__ALL__,risk_pavg,0.7,2800,4000,0.7,0,0.0,1166,834,834,366,2000,0
4,__ALL__,risk_pavg,0.8,3200,4000,0.8,0,0.0,1251,749,749,51,2000,0
4,__ALL__,risk_pavg,0.9,3600,4000,0.9,0,0.0,1616,384,384,16,2000,0
4,__ALL__,risk_pavg,0.95,3800,4000,0.95,0,0.0,1804,196,196,4,2000,0
4,__ALL__,risk_pavg,1.0,4000,4000,1.0,0,0.0,2000,0,0,0,2000,0
4,__ALL__,risk_disagreement,0.5,2000,4000,0.5,0,0.0,1135,865,865,1135,2000,0
4,__ALL__,risk_disagreement,0.7,2800,4000,0.7,0,0.0,1153,847,847,353,2000,0
4,__ALL__,risk_disagreement,0.8,3200,4000,0.8,0,0.0,1243,757,757,43,2000,0
4,__ALL__,risk_disagreement,0.9,3600,4000,0.9,0,0.0,1614,386,386,14,2000,0
4,__ALL__,risk_disagreement,0.95,3800,4000,0.95,0,0.0,1801,199,199,1,2000,0
4,__ALL__,risk_disagreement,1.0,4000,4000,1.0,0,0.0,2000,0,0,0,2000,0
4,__ALL__,risk_hgb,0.5,2000,4000,0.5,0,0.0,1042,958,958,1042,2000,0
4,__ALL__,risk_hgb,0.7,2800,4000,0.7,0,0.0,1085,915,915,285,2000,0
4,__ALL__,risk_hgb,0.8,3200,4000,0.8,0,0.0,1200,800,800,0,2000,0
4,__ALL__,risk_hgb,0.9,3600,4000,0.9,0,0.0,1600,400,400,0,2000,0
4,__ALL__,risk_hgb,0.95,3800,4000,0.95,0,0.0,1800,200,200,0,2000,0
4,__ALL__,risk_hgb,1.0,4000,4000,1.0,0,0.0,2000,0,0,0,2000,0
4,benign:Weibo,risk_pavg,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
4,benign:Weibo,risk_pavg,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
4,benign:Weibo,risk_pavg,0.8,1600,2000,0.8,0,0.0,0,0,0,400,0,0
4,benign:Weibo,risk_pavg,0.9,1800,2000,0.9,0,0.0,0,0,0,200,0,0
4,benign:Weibo,risk_pavg,0.95,1900,2000,0.95,0,0.0,0,0,0,100,0,0
4,benign:Weibo,risk_pavg,1.0,2000,2000,1.0,0,0.0,0,0,0,0,0,0
4,benign:Weibo,risk_disagreement,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
4,benign:Weibo,risk_disagreement,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
4,benign:Weibo,risk_disagreement,0.8,1600,2000,0.8,0,0.0,0,0,0,400,0,0
4,benign:Weibo,risk_disagreement,0.9,1800,2000,0.9,0,0.0,0,0,0,200,0,0
4,benign:Weibo,risk_disagreement,0.95,1900,2000,0.95,0,0.0,0,0,0,100,0,0
4,benign:Weibo,risk_disagreement,1.0,2000,2000,1.0,0,0.0,0,0,0,0,0,0
4,benign:Weibo,risk_hgb,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
4,benign:Weibo,risk_hgb,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
4,benign:Weibo,risk_hgb,0.8,1600,2000,0.8,0,0.0,0,0,0,400,0,0
4,benign:Weibo,risk_hgb,0.9,1800,2000,0.9,0,0.0,0,0,0,200,0,0
4,benign:Weibo,risk_hgb,0.95,1900,2000,0.95,0,0.0,0,0,0,100,0,0
4,benign:Weibo,risk_hgb,1.0,2000,2000,1.0,0,0.0,0,0,0,0,0,0
4,malware:Miuref,risk_pavg,0.5,1000,2000,0.5,0,0.0,1000,1000,1000,0,2000,0
4,malware:Miuref,risk_pavg,0.7,1400,2000,0.7,0,0.0,1400,600,600,0,2000,0
4,malware:Miuref,risk_pavg,0.8,1600,2000,0.8,0,0.0,1600,400,400,0,2000,0
4,malware:Miuref,risk_pavg,0.9,1800,2000,0.9,0,0.0,1800,200,200,0,2000,0
4,malware:Miuref,risk_pavg,0.95,1900,2000,0.95,0,0.0,1900,100,100,0,2000,0
4,malware:Miuref,risk_pavg,1.0,2000,2000,1.0,0,0.0,2000,0,0,0,2000,0
4,malware:Miuref,risk_disagreement,0.5,1000,2000,0.5,0,0.0,1000,1000,1000,0,2000,0
4,malware:Miuref,risk_disagreement,0.7,1400,2000,0.7,0,0.0,1400,600,600,0,2000,0
4,malware:Miuref,risk_disagreement,0.8,1600,2000,0.8,0,0.0,1600,400,400,0,2000,0
