analysis_status,dataset_name,feature_name,final_feature_policy,group_stability,shortcut_risk,source_association
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.retransmitted_out_bytes,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.retransmitted_out_pkts,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.server_tcp_flags,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.shortest_flow_pkt,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.src_to_dst_avg_throughput,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.src_to_dst_second_bytes,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.tcp_flags,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.tcp_win_max_in,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.tcp_win_max_out,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,provenance.capture_id,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,provenance.capture_path,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,provenance.dataset,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,provenance.source_file,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,sample_id,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,trace_id,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,alignment.absolute_timestamp,alignment_only,not_available,0.0,not_available
inventory_only,CICIDS2017,alignment.capture_id,alignment_only,not_available,0.0,not_available
inventory_only,CICIDS2017,alignment.capture_path,alignment_only,not_available,0.0,not_available
inventory_only,CICIDS2017,alignment.ip,alignment_only,not_available,0.0,not_available
inventory_only,CICIDS2017,alignment.port,alignment_only,not_available,0.0,not_available
inventory_only,CICIDS2017,alignment.source_row,alignment_only,not_available,0.0,not_available
inventory_only,CICIDS2017,alignment.tcp_stream,alignment_only,not_available,0.0,not_available
inventory_only,CICIDS2017,context.dst_ip,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,context.dst_port,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,context.flow_id,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,context.sni,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,context.src_ip,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,context.src_port,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,labels.application,label_only,not_available,0.0,not_available
inventory_only,CICIDS2017,labels.attack,label_only,not_available,0.0,not_available
inventory_only,CICIDS2017,labels.binary,label_only,not_available,0.0,not_available
inventory_only,CICIDS2017,labels.category,label_only,not_available,0.0,not_available
inventory_only,CICIDS2017,labels.family,label_only,not_available,0.0,not_available
inventory_only,CICIDS2017,labels.tool,label_only,not_available,0.0,not_available
inventory_only,CICIDS2017,native.ack_flag_count,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.act_data_pkt_fwd,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.active_max,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.active_mean,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.active_min,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.active_std,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.average_packet_size,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.avg_bwd_segment_size,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.avg_fwd_segment_size,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_avg_bulk_rate,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_avg_bytes_bulk,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_avg_packets_bulk,dataset_specific,not_available,0.0,not_available
