analysis_status,cramers_v,cross_dataset_stability,dataset_name,decision_reason,feature_name,feature_rank_stability,final_feature_policy,group_stability,grouped_bootstrap_auc_high,grouped_bootstrap_auc_low,ks_statistic,label_association,missingness_leakage,mutation_invariance,permutation_importance,semantic_role,shap_importance,shortcut_risk,single_feature_auc,source_association,wasserstein_distance
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.flow_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.sni,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.src_ip,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.src_port,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Ground truth or task context is evaluation-only.,labels.application,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Ground truth or task context is evaluation-only.,labels.attack,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Ground truth or task context is evaluation-only.,labels.binary,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Ground truth or task context is evaluation-only.,labels.category,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Ground truth or task context is evaluation-only.,labels.family,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Ground truth or task context is evaluation-only.,labels.tool,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
